Review
untuk gambarnya sesuai, bahan sesuai dengan harganya.
proses cepat barang sesuai deskripsi, lumayan bagus
termasuk ok dengan harga tersebut lah ya, cuma beda dengan deskripsi aja bahannya, bukan combed 30s, ya tapi ok secara kondisi barangnya
kualitas lumayan cuman mesen nya apa dateng nya apa next jangan begitu lagi ya
mantap lah barang sesuai, bahan sesuai dgn harga.. cocok untuk daily jg dan motif distro nya bagus lucu2. ty seller
Kaosnya bagusGambar kerenKemasan rapih
agak kecewa sih dengan kainnya ....tertulis 30s masak yg Dateng kayak kain lap dan gak nyerap keringat sama sekali ...... panas beett
enak dipakai. pokoke mantep
keterangan xl, tpi pas sampe all size
Nyaman dipakai.Kualitas produk bagus. Jahitannya rapi. Warnanya mantap. Ukuran sesuai. Modelnya keren. Bahannya adem. Bahan menyerap keringat. Bahannya lembut. bahan tipis sih. tp krn warna hitam jadi gak begitu menerawang
Kualitas produk bagus. Jahitannya rapi. Modelnya keren Nyaman dipakai.
mantap bahanya bagus, sablonya kerennn...
Kualitas produk bagus.
Kualitas produk bagus. Jahitannya rapi. Ukuran sesuai. Nyaman dipakai. Modelnya keren Bahannya adem. Warnanya mantap. Tidak menerawang. Bahan menyerap keringat. Bahannya lembut.
Nyaman dipakai. Modelnya keren Bahannya adem. Bahannya lembut.
Puasss bat dah
packing rapi pengiriman sangat cepat
Bahanya kurang memuaskan
Jahitannya rapi
Ukuran sesuai.
Boljug
Kualitas produk bagus. Modelnya keren
Ya gtu bahan agag tipis dan belum di coba keknya agag panas bahannya, gambar sablonnya aja agag bagus.sesuai harga dah
Sesuai harga bray.
Jahitannya rapi.
Kualitas produk bagus. Nyaman dipakai.
Jahitannya rapi.
pengiriman sangat cepat Kualitas produk bagus. Modelnya keren.
Ukuran sesuai.
Barang sesuai dan bagus bakalan beli lagi sih disiniKualitas produk bagus. Modelnya keren. Ukuran sesuai. Tidak menerawang. Bahannya adem.
barang ya bagusssssNyaman dipakai.
Kualitas produk bagus.
Nyaman dipakai.
Kualitas produk bagus.
salah ukuran, pilih L dikirim xl, tpi okelah
mendarat sempurna
Kualitas produk bagus Ukuran sesuai Modelnya keren 
ketiak baju gua bolong njing
bahannya standar si. sesuai harga lah. pelayanan ok. kurirnya juga mantap
keren abissss
Bahan bukan cotton 30s, barang palsu
bagus banget nih bahan dan sablonnya
bahannya tipis banget
bahannya panas bikin keringetan
ok sesuai harga & keren
Bahan tipis sih, tp sesuai harga lah. Sablon kurang rapi , selebihnya 
bahan nyaman, adem
tipis
kuslitas sesuai harga
tipisss bangettt, tipiss pol. bahkan warna kulit aja nampak. disarankan dipake buat daleman flanel atau dsb. cuma ada harga ada kualitas
Lumayan oklaa
Sesuai harga
sesuai lah ya sama harganya, kainnya agak tipis, tp polanya bagus
kainnya tipis transparan.. tapi yaudahlah.. sesuai sama harganya..
bahanya tipiss
paket sudah ditangan pembelinya kak
Barang sesuai dan respon cepat
Bahan kasar kayak kain lap
sesuai sama harga walaupun sablonan kurang bagus, saran lebih baik naikin harga dan kualitas
pengiriman cepat dan bahan lumayan bagus. thanks toped
keren
sesuai harga
kualitas sesuai dengan harga.. karena ketika dipakai bahan katunnya agak panas
lumayan adem
nice
mantapppp
Barang tidak sesuai
pengiriman cepaf
kerennnn
Recomended banget
bagus banget sayang
sesuai dengan harganya
lumayan dengan harga seginiok lah
Kualitas barang seusai harga cuma ukuran nya aja yang gak sesuai
barang sudah sampai dengan aman, barangnya bagus banget. pengiriman juga super cepat oake sicepat. thank
bagus bahanya
barang bagus pengiriman cepat recommended
barang nya sangat memuaskan
bahan panas. tipis
Waow bagus banget pengirimannya cepat
bahannya adem g tipis
qualitas sesuai harga laahh..
Ingat, ada harga ada kualitas.Kain tipis, jahitan tidak rapi.Sablon bagus, pengiriman bagus.
mantap
mantap cepat'sekali nympe nya pokonya terimakasih
mantul bagus sesuai deskripsi cepat nyampai makasi resellerr
Nice
brg sesuai .cm pengiriman lama
Kualitas sesuai harga
You get what you pay the print is good, but the material feels cheap.
lumayan lah sesuai harga.
tipis
Kualitas buruk tidak sesuai gambar, tp ya gimana ada harga ada rupa
tipiss bgt buat baju d rumah lumayan
Bahan nya lumayan bagus
barang sesuai pesanan bagus
harga murah kualitas juga murah
tipis
pesan 3, semuanya bagus ko tpi yg astronot ukurannya kegedean. ini All size atau over size tolong d cek lagi sebelum d kirim. terutama soal ukuran. jika ukuran yg d inginkan tidak ada, mohon d konfirmasi dulu ke pembeli.Terimakasih.
ini mah Naha polyester bukan katun, size xl nya kyk size m 
