Review
untuk gambarnya sesuai bahan sesuai dengan harganya
proses cepat barang sesuai deskripsi lumayan bagus
termasuk ok dengan harga tersebut lah ya cuma beda dengan deskripsi aja bahannya bukan combed ya tapi ok secara kondisi barangnya
kualitas lumayan cuman mesen nya apa dateng nya apa next jangan begitu lagi ya
mantap lah barang sesuai bahan sesuai dgn harga cocok untuk daily jg dan motif distro nya bagus lucu2 ty seller
Kaosnya bagusGambar kerenKemasan rapih
agak kecewa sih dengan kainnya tertulis 30s masak yg Dateng kayak kain lap dan gak nyerap keringat sama sekali  panas beett
enak dipakai pokoke mantep
keterangan xl tpi pas sampe all size
