Review
untuk gambarnya sesuai bahan sesuai dengan harganya
proses cepat barang sesuai deskripsi lumayan bagus
termasuk ok dengan harga tersebut lah ya cuma beda dengan deskripsi aja bahannya bukan combed ya tapi ok secara kondisi barangnya
kualitas lumayan cuman mesen nya apa dateng nya apa next jangan begitu lagi ya
mantap lah barang sesuai bahan sesuai dgn harga cocok untuk daily jg dan motif distro nya bagus lucu2 ty seller
Kaosnya bagusGambar kerenKemasan rapih
agak kecewa sih dengan kainnya tertulis 30s masak yg Dateng kayak kain lap dan gak nyerap keringat sama sekali  panas beett
enak dipakai pokoke mantep
keterangan xl tpi pas sampe all size
Nyaman dipakai Kualitas produk bagus Jahitannya rapi Warnanya mantap Ukuran sesuai Modelnya keren Bahannya adem Bahan menyerap keringat Bahannya lembut bahan tipis sih tp krn warna hitam jadi gak begitu menerawang
Kualitas produk bagus Jahitannya rapi Modelnya keren Nyaman dipakai
mantap bahanya bagus sablonya kerennn
Kualitas produk bagus
Kualitas produk bagus Jahitannya rapi Ukuran sesuai Nyaman dipakai Modelnya keren Bahannya adem Warnanya mantap Tidak menerawang Bahan menyerap keringat Bahannya lembut
Nyaman dipakai Modelnya keren Bahannya adem Bahannya lembut
Puasss bat dah
packing rapi pengiriman sangat cepat
Bahanya kurang memuaskan
Jahitannya rapi
Ukuran sesuai
Boljug
Kualitas produk bagus Modelnya keren
Ya gtu bahan agag tipis dan belum di coba keknya agag panas bahannya gambar sablonnya aja agag bagus sesuai harga dah
Sesuai harga bray
Jahitannya rapi
Kualitas produk bagus Nyaman dipakai
Jahitannya rapi
pengiriman sangat cepat Kualitas produk bagus Modelnya keren
Ukuran sesuai
